mchi1,mchipm1,Final_CLs,exclusion
602.819118,879.754797,0.909,1
1047.51682,1049.06036,1.0,1
479.839477,1159.2922,0.653,1
794.251531,1730.9572,1.0,1
239.341995,308.944285,0.40419477,1
393.342455,393.486417,0.0,0
268.560707,273.219834,0.15070812,1
964.157286,967.86662,0.935,1
701.361722,1226.78241,1.0,1
103.692596,110.71383,0.000328,0
197.718424,416.992691,0.095177144,1
517.078375,517.176369,1.0,1
665.033505,679.748096,1.0,1
13.8858343,1525.98876,1.0,1
858.448477,1234.70303,1.0,1
538.815677,538.892407,0.806,1
238.563479,253.20731,0.778,1
278.845006,279.031011,0.423,1
559.447863,1289.08481,1.0,1
327.013308,368.034391,0.619,1
176.48874,178.861248,0.020594493,0
678.392988,679.208557,0.872,1
23.1660662,172.588696,2.36e-10,0
768.601768,768.703723,1.0,1
167.175608,1650.28395,1.0,1
1507.49516,1510.28291,1.0,1
1211.3741,1223.84599,1.0,1
1130.78693,1131.47638,1.0,1
572.7536,577.415827,1.0,1
602.874519,847.048821,0.908,1
319.276778,319.920128,0.915,1
310.812195,312.319327,0.2,1
104.548542,105.920376,0.00416,0
155.31769,155.50757,0.0,0
386.19188,386.980429,0.854,1
1089.43925,1445.42484,1.0,1
574.956861,1556.75384,1.0,1
588.144832,588.208263,0.868,1
572.905905,977.884005,0.491,1
145.567813,148.43338,0.655,1
466.116184,466.811385,0.874,1
553.328741,1040.92872,0.64,1
305.934551,307.961252,0.933,1
159.433715,552.989221,0.06282993,1
895.312703,962.723602,1.0,1
180.074055,183.843711,0.182,1
408.522152,408.846016,0.814,1
744.733734,745.793884,0.951,1
124.496785,124.686972,0.0,0
1579.53853,1649.55051,1.0,1
719.290213,723.962795,0.859,1
338.495504,1418.94878,1.0,1
934.039121,1425.88478,1.0,1
1117.92609,1127.49998,1.0,1
570.637532,942.245434,0.675,1
231.050755,238.446317,0.46629053,1
28.4932133,786.574429,0.0854,1
115.171911,115.356982,0.0,0
922.942857,1148.91927,1.0,1
186.960393,1744.34763,1.0,1
672.465518,1108.05251,0.758,1
61.6857429,1397.67561,1.0,1
917.593894,918.727432,1.0,1
308.735973,1370.45566,1.0,1
437.043104,437.174019,0.948,1
102.362485,103.24891,0.0,0
1251.70138,1436.93685,1.0,1
703.396478,785.066888,0.946,1
869.569332,870.864281,0.943,1
763.589711,871.318411,0.998,1
829.106402,859.728679,1.0,1
312.408741,313.276119,1.0,1
152.415053,152.607589,0.0,0
906.869752,907.584501,1.0,1
278.450778,278.631906,0.0,0
271.716336,273.852513,0.506,1
123.114307,123.31942,0.0122,0
1436.02841,1436.47475,1.0,1
822.586264,822.66212,1.0,1
99.8820947,108.555122,0.00248,0
550.701338,550.753029,1.0,1
700.596721,702.016987,0.927,1
1586.02505,1606.09327,1.0,1
248.314011,1362.21378,1.0,1
227.434507,229.463719,0.749,1
293.942612,591.054339,0.628,1
437.440808,470.447199,0.5708131,1
444.060912,444.259347,0.781,1
238.065594,238.254227,0.0,0
291.69818,291.881022,0.0,0
638.664719,642.531833,1.0,1
145.503933,319.752051,0.012445563,0
78.8498456,832.58508,0.0045725964,0
483.825539,486.98658,0.941,1
164.648103,348.757423,0.434,1
170.700772,173.008174,0.706,1
822.886683,828.922415,0.944,1
351.576479,351.736299,0.0,0
473.803957,489.117339,0.879,1
184.506583,188.15693,0.204,1
315.779174,318.550608,0.806,1
394.362876,397.484167,0.847,1
113.034561,116.392035,0.00233,0
197.527005,1816.57597,1.0,1
510.627011,510.974867,0.892,1
307.446306,307.632674,0.155,1
174.116519,174.797133,0.918,1
143.269305,209.645865,0.04716172,0
271.472585,927.056518,0.221,1
38.0058742,683.764624,0.028339561,0
1206.48834,1258.61536,1.0,1
402.73092,763.785418,0.623,1
658.137941,659.366041,0.82,1
623.738424,626.931078,0.892,1
62.2286326,522.242191,0.021004295,0
684.306698,685.678564,0.95,1
469.115351,470.488695,0.7207397,1
446.071298,446.479609,0.64,1
266.438977,312.630536,0.253,1
333.818399,1743.76339,1.0,1
673.381062,870.966325,0.972,1
497.856661,1449.03756,1.0,1
207.55762,207.750334,0.0,0
38.351525,184.449352,1.013406e-05,0
993.963177,994.574114,0.916,1
390.260514,1319.42158,1.0,1
201.55458,696.91539,0.115424536,1
192.422258,195.888167,0.7382239,1
94.7297924,94.9126907,0.0362,0
178.215249,363.296691,0.221,1
392.871355,393.145819,0.314,1
333.51406,333.703254,0.0839,1
103.768578,106.166099,0.0647,1
98.182109,1157.86738,0.273,1
99.8416426,101.624288,0.632,1
458.0842,461.187184,0.72496825,1
985.679678,986.343381,1.0,1
111.482954,111.6683,0.0,0
257.209709,258.290767,0.546,1
383.018308,383.166219,0.0,0
113.505368,113.740369,0.00329,0
608.743184,609.940929,0.574,1
853.232464,1044.07961,0.948,1
534.210892,536.860679,0.396,1
785.772325,1254.85671,1.0,1
125.690468,128.213613,0.654,1
1111.33353,1115.86559,1.0,1
87.0686891,1313.96295,1.0,1
530.234264,530.318281,0.741,1
497.93234,498.016636,0.858,1
571.729542,1068.1501,0.409,1
552.756958,553.142144,0.849,1
406.085246,406.915421,0.948,1
464.198194,465.223561,0.952,1
448.969065,889.667336,0.487,1
454.088212,455.486496,0.642,1
104.481789,104.665394,0.0,0
382.950422,383.100822,0.0,0
934.724917,1466.11133,1.0,1
208.773338,213.252841,0.711,1
313.209453,316.571876,0.395,1
429.027521,429.164082,0.889,1
164.305557,167.838438,0.866,1
440.058003,443.467339,0.636,1
69.0811901,245.321487,0.0007057544,0
863.086223,866.019329,0.94,1
1075.01884,1265.34554,1.0,1
349.722827,1392.31179,1.0,1
111.422556,635.258343,0.23537636,1
272.05018,641.813913,0.024141656,0
313.288234,1175.24211,0.607,1
491.466544,491.56918,0.937,1
495.733434,503.916575,0.87,1
646.868945,646.918057,0.839,1
167.120914,167.320725,0.0239,0
657.931474,1745.50205,1.0,1
525.66266,525.761717,0.707,1
727.714292,786.504857,0.936,1
1102.38418,1103.50709,1.0,1
23.5358262,1341.8934,1.0,1
824.313026,856.524693,0.882,1
197.457785,198.368596,0.933,1
880.064485,880.988717,0.85,1
492.035282,684.601331,0.788,1
1412.27692,1412.28989,1.0,1
471.923241,1543.28213,1.0,1
336.903123,487.550753,0.729,1
444.821744,445.757569,1.0,1
427.774534,428.232497,0.748,1
609.707045,609.724815,1.0,1
162.427944,162.633639,0.0169,0
1394.73764,1587.98045,1.0,1
283.205982,422.001445,0.57,1
777.501962,778.775526,1.0,1
94.2991672,411.968306,0.118923,1
789.419072,792.987385,0.945,1
317.293183,317.42474,0.0,0
151.810983,153.938951,0.45,1
522.83118,881.010207,0.62,1
530.844792,530.993271,0.0,0
1386.30716,1408.57859,1.0,1
1275.28824,1278.0299,1.0,1
234.579583,234.774461,0.0,0
810.473841,814.53627,1.0,1
604.931635,606.6422,0.86,1
702.22377,705.346089,0.566,1
402.690792,404.960045,0.75,1
1103.90588,1652.89621,1.0,1
412.65959,412.819775,0.0,0
164.812034,171.776777,0.6,1
376.986331,377.146491,0.0,0
191.892876,371.338149,0.323,1
468.575921,585.115037,0.826,1
123.025684,1012.32165,0.286,1
152.941836,159.021028,0.0419,0
573.876224,574.685204,0.958,1
306.329397,308.958323,0.9123546,1
117.373202,119.912376,0.657,1
341.347922,341.516654,0.0,0
257.102785,1345.5955,1.0,1
503.976291,777.392235,0.737,1
275.793428,278.971762,0.0832,1
803.193154,1467.42269,1.0,1
388.489022,512.192257,0.906,1
358.006732,358.171264,0.0,0
858.159481,1637.56706,1.0,1
565.444442,1568.76812,1.0,1
40.1822865,358.360577,0.07328379,1
1082.63543,1509.86592,1.0,1
118.931535,119.645709,0.0052,0
506.510477,506.638058,0.655,1
328.075565,1150.23882,0.545,1
964.284865,964.948868,1.0,1
470.837377,663.182141,0.926,1
404.667374,409.222526,0.562,1
202.099193,205.592413,0.74591804,1
258.14447,1404.55015,1.0,1
678.341859,679.097824,1.0,1
119.678909,120.612438,0.853,1
1257.77294,1290.50602,1.0,1
122.103055,122.706638,0.912,1
586.236444,1519.03497,1.0,1
333.224333,1223.13546,1.0,1
548.646178,552.065121,0.92,1
383.944651,387.21126,0.843,1
306.13394,1402.49681,1.0,1
300.554609,300.723984,0.0,0
638.079936,1429.82105,1.0,1
544.260184,545.037069,0.792,1
586.9373,587.386205,0.914,1
296.352627,298.929445,0.928,1
446.792113,447.137052,1.0,1
307.727161,307.898587,0.0,0
136.461016,137.249109,0.756,1
471.323138,1125.65442,0.439,1
644.433246,685.534279,0.937,1
698.827779,699.702982,0.812,1
394.196743,869.732957,0.452,1
993.942385,1211.02867,1.0,1
35.013151,707.058792,0.037947703,0
91.88955,92.057736,0.000196,0
249.372024,249.556202,0.0,0
112.283036,457.036861,0.5691692,1
555.485531,557.285371,0.752,1
818.148691,821.66826,0.873,1
173.882055,818.969201,0.0914,1
1071.58805,1072.08672,1.0,1
804.97381,936.742931,1.0,1
327.001836,331.292714,0.226,1
813.898309,1093.7147,0.951,1
187.923786,189.491611,0.753,1
41.1199984,467.520604,0.354,1
300.388986,604.736569,0.6998798,1
289.425524,311.880077,0.7749846,1
1219.08916,1219.64757,1.0,1
100.883097,134.618242,0.00878,0
974.212506,975.037533,1.0,1
243.8953,247.902248,0.119,1
574.498976,574.564197,0.687,1
252.045063,253.622517,0.948,1
190.891046,191.080507,0.0,0
366.665409,1242.75848,1.0,1
758.586973,1482.78522,1.0,1
309.387412,312.661086,0.575,1
530.454043,852.451095,0.858,1
124.712231,124.96613,0.00357,0
761.97542,810.273354,0.98,1
516.336438,765.228959,0.768,1
341.606024,1185.20371,0.613,1
557.728441,562.328185,0.326,1
967.346067,1099.9499,1.0,1
925.978989,926.550807,0.965,1
117.891359,574.738864,0.106,1
554.41131,812.190663,0.82981247,1
458.527137,463.739188,0.75,1
389.489071,1506.30198,1.0,1
850.701566,1535.24508,1.0,1
267.671497,270.13686,0.0763,1
510.906848,1095.92529,0.677,1
654.395613,808.363553,0.955,1
618.79393,620.270391,0.886,1
1266.178,1270.41685,1.0,1
724.165876,724.288864,0.837,1
181.216682,181.410647,0.0,0
318.968349,1837.03925,1.0,1
30.9988142,180.018721,1.2e-26,0
1023.60045,1026.65528,1.0,1
195.21961,199.790387,0.726,1
1388.51647,1388.5332,1.0,1
334.493573,336.842587,0.833,1
432.298726,1909.10761,1.0,1
182.558374,184.930848,0.802,1
867.07006,1565.21042,1.0,1
408.634147,411.753054,0.348,1
601.882851,601.933927,1.0,1
189.884601,189.975883,0.102,1
236.167037,236.447946,0.0443,0
155.691521,161.644451,0.478,1
572.205883,1036.26131,0.27,1
550.039162,550.086911,0.692,1
559.13918,561.719321,0.596,1
1210.42707,1212.55537,1.0,1
178.819405,179.013075,0.0,0
463.656152,1608.93543,1.0,1
282.850031,283.038373,0.0,0
146.926158,147.116652,0.0,0
261.348033,261.537691,0.0,0
1486.14914,1551.39223,1.0,1
806.033659,809.719264,0.904,1
633.499249,658.266824,0.903,1
151.674525,152.225319,0.204,1
965.624563,1653.22381,1.0,1
1529.33001,1595.15673,1.0,1
267.330316,375.441642,0.453,1
997.919607,999.294281,1.0,1
327.008471,327.17912,0.0,0
462.452128,462.601435,0.0,0
161.176327,161.367568,0.0,0
141.830817,145.557004,0.0,0
809.050952,809.865803,0.933,1
451.150248,451.351358,0.698,1
1064.91832,1274.7546,1.0,1
366.714068,883.442111,0.33807594,1
192.287778,194.624577,0.538,1
175.1888,180.785023,0.105,1
277.79036,423.279875,0.619,1
495.685169,962.556366,0.364,1
1192.50746,1194.79091,1.0,1
138.065697,140.533076,0.264,1
1.03273288,148.353763,2.25e-10,0
435.573029,442.350226,0.334,1
95.3667964,95.5513056,0.00429,0
178.197312,178.389094,0.0,0
163.255039,166.702793,0.174,1
140.469658,274.932116,2.9352877e-06,0
249.76609,250.520917,0.431,1
14.6205733,880.37755,0.06618793,1
234.02053,1467.74165,1.0,1
860.215357,860.979251,0.867,1
261.691571,261.917503,0.153,1
686.70715,689.328616,1.0,1
565.448725,565.509097,1.0,1
847.873195,851.029567,0.95,1
798.144801,798.786425,1.0,1
202.520063,205.654267,0.829,1
454.149672,455.264862,0.92,1
121.21687,154.897697,1.46e-10,0
303.034894,304.273373,0.147,1
335.328891,744.908059,0.0975,1
352.495007,357.292962,0.933,1
624.228454,625.521942,0.762,1
414.255952,416.096039,0.398,1
532.507926,532.615732,0.632,1
1390.46773,1715.50152,1.0,1
172.912786,473.698233,0.521,1
635.44045,639.360294,1.0,1
